"tactic_id";"tactic_category";"tactic_name ";"tactic_description "
"TA0043";1;"Reconnaissance";"The adversary is trying to gather information they can use to plan future operations."
"TA0042";1;"Resource Development";"The adversary is trying to establish resources they can use to support operations."
"TA0001";1;"Initial Access";"The adversary is trying to get into your network."
"TA0002";1;"Execution";"The adversary is trying to run malicious code."
"TA0003";1;"Persistence";"The adversary is trying to maintain their foothold."
"TA0004";1;"Privilege Escalation";"The adversary is trying to gain higher-level permissions."
"TA0005";1;"Defense Evasion";"The adversary is trying to avoid being detected."
"TA0006";1;"Credential Access";"The adversary is trying to steal account names and passwords."
"TA0007";1;"Discovery";"The adversary is trying to figure out your environment."
"TA0008";1;"Lateral Movement";"The adversary is trying to move through your environment."
"TA0009";1;"Collection";"The adversary is trying to gather data of interest to their goal."
"TA0011";1;"Command and Control";"The adversary is trying to communicate with compromised systems to control them."
"TA0010";1;"Exfiltration";"The adversary is trying to steal data."
"TA0040";1;"Impact";"The adversary is trying to manipulate, interrupt, or destroy your systems and data."
"TA0027";2;"Initial Access";"The adversary is trying to get into your device."
"TA0041";2;"Execution";"The adversary is trying to run malicious code."
"TA0028";2;"Persistence";"The adversary is trying to maintain their foothold."
"TA0029";2;"Privilege Escalation";"The adversary is trying to gain higher-level permissions."
"TA0030";2;"Defense Evasion";"The adversary is trying to avoid being detected."
"TA0031";2;"Credential Access";"The adversary is trying to steal account names, passwords, or other secrets that enable access to resources."
"TA0032";2;"Discovery";"The adversary is trying to figure out your environment."
"TA0033";2;"Lateral Movement";"The adversary is trying to move through your environment."
"TA0035";2;"Collection";"The adversary is trying to gather data of interest to their goal."
"TA0037";2;"Command and Control";"The adversary is trying to communicate with compromised devices to control them."
"TA0036";2;"Exfiltration";"The adversary is trying to steal data."
"TA0034";2;"Impact";"The adversary is trying to manipulate, interrupt, or destroy your devices and data."
"TA0038";2;"Network Effects";"The adversary is trying to intercept or manipulate network traffic to or from a device."
"TA0039";2;"Remote Service Effects";"The adversary is trying to control or monitor the device using remote services."
"TA0108";3;"Initial Access";"The adversary is trying to get into your ICS environment."
"TA0104";3;"Execution";"The adversary is trying to run code or manipulate system functions, parameters, and data in an unauthorized way."
"TA0110";3;"Persistence";"The adversary is trying to maintain their foothold in your ICS environment."
"TA0111";3;"Privilege Escalation";"The adversary is trying to gain higher-level permissions."
"TA0103";3;"Evasion";"The adversary is trying to avoid security defenses."
"TA0102";3;"Discovery";"The adversary is locating information to assess and identify their targets in your environment."
"TA0109";3;"Lateral Movement";"The adversary is trying to move through your ICS environment."
"TA0100";3;"Collection";"The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal."
"TA0101";3;"Command and Control";"The adversary is trying to communicate with and control compromised systems, controllers, and platforms with access to your ICS environment."
"TA0107";3;"Inhibit Response Function";"The adversary is trying to prevent your safety, protection, quality assurance, and operator intervention functions from responding to a failure, hazard, or unsafe state."
"TA0106";3;"Impair Process Control";"The adversary is trying to manipulate, disable, or damage physical control processes."
"TA0105";3;"Impact";"The adversary is trying to manipulate, interrupt, or destroy your ICS systems, data, and their surrounding environment."
