"ds_id";"ds_code";"ds_name";"ds_domain";"ds_description"
"ds_001";"DS0026";"Active Directory";1;"A database and set of services that allows administrators to manage permissions, access to network resources, and stored data objects (user, group, application, or devices)"
"ds_002";"DS0015";"Application Log";1;"Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)"
"ds_003";"DS0015";"Application Log";3;"Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)"
"ds_004";"DS0041";"Application Vetting";2;"Application vetting report generated by an external cloud service."
"ds_005";"DS0039";"Asset";3;"Data sources with information about the set of devices found within the network, along with their current software and configurations"
"ds_006";"DS0037";"Certificate";1;"A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications"
"ds_007";"DS0025";"Cloud Service";1;"Infrastructure, platforms, or software that are hosted on-premise or by third-party providers, made available to users through network connections and/or APIs"
"ds_008";"DS0010";"Cloud Storage";1;"Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs"
"ds_009";"DS0017";"Command";1;"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task"
"ds_010";"DS0017";"Command";2;"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task"
"ds_011";"DS0017";"Command";3;"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task"
"ds_012";"DS0032";"Container";1;"A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another"
"ds_013";"DS0038";"Domain Name";1;"Information obtained (commonly through registration or activity logs) regarding one or more IP addresses registered with human readable names (ex: mitre.org)"
"ds_014";"DS0016";"Drive";1;"A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter"
"ds_015";"DS0016";"Drive";3;"A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter"
"ds_016";"DS0027";"Driver";1;"A computer program that operates or controls a particular type of device that is attached to a computer. Provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used"
"ds_017";"DS0022";"File";1;"A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media)."
"ds_018";"DS0022";"File";3;"A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media)."
"ds_019";"DS0018";"Firewall";1;"A network security system, running locally on an endpoint or remotely as a service (ex: cloud environment), that monitors and controls incoming/outgoing network traffic based on predefined rules"
"ds_020";"DS0001";"Firmware";1;"Computer software that provides low-level control for the hardware and device(s) of a host, such as BIOS or UEFI/EFI"
"ds_021";"DS0001";"Firmware";3;"Computer software that provides low-level control for the hardware and device(s) of a host, such as BIOS or UEFI/EFI"
"ds_022";"DS0036";"Group";1;"A collection of multiple user accounts that share the same access rights to the computer and/or network resources and have common security rights"
"ds_023";"DS0007";"Image";1;"A single file used to deploy a virtual machine/bootable disk into an on-premise or third-party cloud environment"
"ds_024";"DS0030";"Instance";1;"A virtual server environment which runs workloads, hosted on-premise or by third-party cloud providers"
"ds_025";"DS0035";"Internet Scan";1;"Information obtained (commonly via active network traffic probes or web crawling) regarding various types of resources and servers connected to the public Internet"
"ds_026";"DS0008";"Kernel";1;"A computer program, at the core of a computer OS, that resides in memory and facilitates interactions between hardware and software components"
"ds_027";"DS0028";"Logon Session";1;"Logon occurring on a system or resource (local, domain, or cloud) to which a user/device is gaining access after successful authentication and authorization"
"ds_028";"DS0028";"Logon Session";3;"Logon occurring on a system or resource (local, domain, or cloud) to which a user/device is gaining access after successful authentication and authorization"
"ds_029";"DS0004";"Malware Repository";1;"Information obtained (via shared or submitted samples) regarding malicious software (droppers, backdoors, etc.) used by adversaries"
"ds_030";"DS0011";"Module";1;"Executable files consisting of one or more shared classes and interfaces, such as portable executable (PE) format binaries/dynamic link libraries (DLL), executable and linkable format (ELF) binaries/shared libraries, and Mach-O format binaries/shared libraries"
"ds_031";"DS0011";"Module";3;"Executable files consisting of one or more shared classes and interfaces, such as portable executable (PE) format binaries/dynamic link libraries (DLL), executable and linkable format (ELF) binaries/shared libraries, and Mach-O format binaries/shared libraries"
"ds_032";"DS0023";"Named Pipe";1;"Mechanisms that allow inter-process communication locally or over the network. A named pipe is usually found as a file and processes attach to it"
"ds_033";"DS0033";"Network Share";1;"A storage resource (typically a folder or drive) made available from one host to others using network protocols, such as Server Message Block (SMB) or Network File System (NFS)"
"ds_034";"DS0033";"Network Share";3;"A storage resource (typically a folder or drive) made available from one host to others using network protocols, such as Server Message Block (SMB) or Network File System (NFS)"
"ds_035";"DS0029";"Network Traffic";1;"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)"
"ds_036";"DS0029";"Network Traffic";2;"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)"
"ds_037";"DS0029";"Network Traffic";3;"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)"
"ds_038";"DS0040";"Operational Databases";3;"Operational databases contain information about the status of the operational process and associated devices, including any measurements, events, history, or alarms that have occurred"
"ds_039";"DS0021";"Persona";1;"A malicious online profile representing a user commonly used by adversaries to social engineer or otherwise target victims"
"ds_040";"DS0014";"Pod";1;"A single unit of shared resources within a cluster, comprised of one or more containers"
"ds_041";"DS0009";"Process";1;"Instances of computer programs that are being executed by at least one thread. Processes have memory space for process executables, loaded modules (DLLs or shared libraries), and allocated memory regions containing everything from user input to application-specific data structures"
"ds_042";"DS0009";"Process";2;"Instances of computer programs that are being executed by at least one thread. Processes have memory space for process executables, loaded modules (DLLs or shared libraries), and allocated memory regions containing everything from user input to application-specific data structures"
"ds_043";"DS0009";"Process";3;"Instances of computer programs that are being executed by at least one thread. Processes have memory space for process executables, loaded modules (DLLs or shared libraries), and allocated memory regions containing everything from user input to application-specific data structures"
"ds_044";"DS0003";"Scheduled Job";1;"Automated tasks that can be executed at a specific time or on a recurring schedule running in the background (ex: Cron daemon, task scheduler, BITS)"
"ds_045";"DS0003";"Scheduled Job";3;"Automated tasks that can be executed at a specific time or on a recurring schedule running in the background (ex: Cron daemon, task scheduler, BITS)"
"ds_046";"DS0012";"Script";1;"A file or stream containing a list of commands, allowing them to be launched in sequence"
"ds_047";"DS0012";"Script";3;"A file or stream containing a list of commands, allowing them to be launched in sequence"
"ds_048";"DS0013";"Sensor Health";1;"Information from host telemetry providing insights about system status, errors, or other notable functional activity"
"ds_049";"DS0013";"Sensor Health";2;"Information from host telemetry providing insights about system status, errors, or other notable functional activity"
"ds_050";"DS0019";"Service";1;"A computer process that is configured to execute continuously in the background and perform system tasks, in some cases before any user has logged in"
"ds_051";"DS0019";"Service";3;"A computer process that is configured to execute continuously in the background and perform system tasks, in some cases before any user has logged in"
"ds_052";"DS0020";"Snapshot";1;"A point-in-time copy of cloud volumes (files, settings, etc.) that can be created and/or deployed in cloud environments"
"ds_053";"DS0002";"User Account";1;"A profile representing a user, device, service, or application used to authenticate and access resources"
"ds_054";"DS0002";"User Account";3;"A profile representing a user, device, service, or application used to authenticate and access resources"
"ds_055";"DS0042";"User Interface";2;"Visual activity on the device that could alert the user to potentially malicious behavior."
"ds_056";"DS0034";"Volume";1;"Block object storage hosted on-premise or by third-party providers, typically made available to resources as virtualized hard drives"
"ds_057";"DS0006";"Web Credential";1;"Credential material, such as session cookies or tokens, used to authenticate to web applications and services"
"ds_058";"DS0024";"Windows Registry";1;"A Windows OS hierarchical database that stores much of the information and settings for software programs, hardware devices, user preferences, and operating-system configurations"
"ds_059";"DS0024";"Windows Registry";3;"A Windows OS hierarchical database that stores much of the information and settings for software programs, hardware devices, user preferences, and operating-system configurations"
"ds_060";"DS0005";"WMI";1;"The infrastructure for management data and operations that enables local and remote management of Windows personal computers and servers"
