"software_id";"software_name";"associated_software";"software_description"
"S0066";"3PARA RAT";"";"3PARA RATis a remote access tool (RAT) programmed in C++ that has been used byPutter Panda."
"S0065";"4H RAT";"";"4H RATis malware that has been used byPutter Pandasince at least 2007."
"S0677";"AADInternals";"";"AADInternalsis a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub."
"S0469";"ABK";"";"ABKis a downloader that has been used byBRONZE BUTLERsince at least 2019."
"S1061";"AbstractEmu";"";"AbstractEmuis mobile malware that was first seen in Google Play and other third-party stores in October 2021. It was discovered in 19 Android applications, of which at least 7 abused known Android exploits for obtaining root permissions.AbstractEmuwas observed primarily impacting users in the United States, however victims are believed to be across a total of 17 countries."
"S1000";"ACAD/Medre.A";"";"ACAD/Medre.Ais a worm that steals operational information. The worm collects AutoCAD files with drawings.ACAD/Medre.Ahas the capability to be used for industrial espionage."
"S1125";"AcidRain";"";"AcidRainis an ELF binary targeting modems and routers using MIPS architecture.AcidRainis associated with the ViaSat KA-SAT communication outage that took place during the initial phases of the 2022 full-scale invasion of Ukraine. Analysis indicates overlap with another network device-targeting malware, VPNFilter, associated withSandworm Team. US and European government sources linkedAcidRainto Russian government entities, while Ukrainian government sources linkedAcidRainspecifically toSandworm Team."
"S1028";"Action RAT";"";"Action RATis a  remote access tool written in Delphi that has been used bySideCopysince at least December 2021 against Indian and Afghani government personnel."
"S0202";"adbupd";"";"adbupdis a backdoor used byPLATINUMthat is similar toDipsind."
"S0552";"AdFind";"";"AdFindis a free command-line query tool that can be used for gathering information from Active Directory."
"S0309";"Adups";"";"Adupsis software that was pre-installed onto Android devices, including those made by BLU Products. The software was reportedly designed to help a Chinese phone manufacturer monitor user behavior, transferring sensitive data to a Chinese server."
"S0045";"ADVSTORESHELL";"AZZY, EVILTOSS, NETUI, Sedreco";"ADVSTORESHELLis a spying backdoor that has been used byAPT28from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase."
"S0440";"Agent Smith";"";"Agent Smithis mobile malware that generates financial gain by replacing legitimate applications on devices with malicious versions that include fraudulent ads. As of July 2019Agent Smithhad infected around 25 million devices, primarily targeting India though effects had been observed in other Asian countries as well as Saudi Arabia, the United Kingdom, and the United States."
"S0331";"Agent Tesla";"";"Agent Teslais a spyware Trojan written for the .NET framework that has been observed since at least 2014."
"S0092";"Agent.btz";"";"Agent.btzis a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008."
"S1095";"AhRat";"";"AhRatis an Android remote access tool based on the open-source AhMyth remote access tool.AhRatinitially spread in August 2022 on the Google Play Store via an update containing malicious code to the previously benign application, ""iRecorder – Screen Recorder"", which itself was released in September 2021."
"S1129";"Akira";"";"Akiraransomware, written in C++, is most prominently (but not exclusively) associated with the a ransomware-as-a-service entityAkira."
"S0319";"Allwinner";"";"Allwinneris a company that supplies processors used in Android tablets and other devices. A Linux kernel distributed byAllwinnerfor use on these devices reportedly contained a backdoor."
"S1025";"Amadey";"";"Amadeyis a Trojan bot that has been used since at least October 2018."
"S0504";"Anchor";"Anchor_DNS";"Anchoris one of a family of backdoor malware that has been used in conjunction withTrickBoton selected high profile targets since at least 2018."
"S0525";"Android/AdDisplay.Ashas";"";"Android/AdDisplay.Ashasis a variant of adware that has been distributed through multiple apps in the Google Play Store."
"S0304";"Android/Chuli.A";"";"Android/Chuli.Ais Android malware that was delivered to activist groups via a spearphishing email with an attachment."
"S0524";"AndroidOS/MalLocker.B";"";"AndroidOS/MalLocker.Bis a variant of a ransomware family targeting Android devices. It prevents the user from interacting with the UI by displaying a screen containing a ransom note over all other windows."
"S0310";"ANDROIDOS_ANSERVER.A";"";"ANDROIDOS_ANSERVER.Ais Android malware that is unique because it uses encrypted content within a blog site for command and control."
"S1074";"ANDROMEDA";"";"ANDROMEDAis commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries. During the 2022C0026campaign, threat actors re-registered expiredANDROMEDAC2 domains to spread malware to select targets in Ukraine."
"S0292";"AndroRAT";"";"AndroRATis an open-source remote access tool for Android devices.AndroRATis capable of collecting data, such as device location, call logs, etc., and is capable of executing actions, such as sending SMS messages and taking pictures. It is originally available through theThe404HackingGithub repository."
"S0422";"Anubis";"";"Anubisis Android malware that was originally used for cyber espionage, and has been retooled as a banking trojan."
"S0584";"AppleJeus";"";"AppleJeusis a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications.AppleJeushas been used byLazarus Group, targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia.AppleJeushas been used to distribute theFALLCHILLRAT."
"S0622";"AppleSeed";"";"AppleSeedis a backdoor that has been used byKimsukyto target South Korean government, academic, and commercial  targets since at least 2021."
"S0456";"Aria-body";"";"Aria-bodyis a custom backdoor that has been used byNaikonsince approximately 2017."
"S0099";"Arp";"arp.exe";"Arpdisplays and modifies information about a system's Address Resolution Protocol (ARP) cache."
"S0540";"Asacub";"Trojan-SMS.AndroidOS.Smaps";"Asacubis a banking trojan that attempts to steal money from victims’ bank accounts. It attempts to do this by initiating a wire transfer via SMS message from compromised devices."
"S0073";"ASPXSpy";"ASPXTool";"ASPXSpyis a Web shell. It has been modified byThreat Group-3390actors to create the ASPXTool version."
"S0373";"Astaroth";"Guildma";"Astarothis a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017."
"S1087";"AsyncRAT";"";"AsyncRATis an open-source remote access tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns."
"S0110";"at";"at.exe";"atis used to schedule tasks on a system to run at a specified date or time."
"S0438";"Attor";"";"Attoris a Windows-based espionage platform that has been seen in use since 2013.Attorhas a loadable plugin architecture to customize functionality for specific targets."
"S0347";"AuditCred";"Roptimizer";"AuditCredis a malicious DLL that has been used byLazarus Groupduring their 2018 attacks."
"S1029";"AuTo Stealer";"";"AuTo Stealeris malware written in C++ has been used bySideCopysince at least December 2021 to target government agencies and personnel in India and Afghanistan."
"S0129";"AutoIt backdoor";"";"AutoIt backdooris malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352.  This malware makes use of the legitimate scripting language for Windows GUI automation with the same name."
"S0640";"Avaddon";"";"Avaddonis ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020."
"S0473";"Avenger";"";"Avengeris a downloader that has been used byBRONZE BUTLERsince at least 2019."
"S1053";"AvosLocker";"";"AvosLockeris ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022,AvosLockerhad also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom."
"S0344";"Azorult";"";"Azorultis a commercial Trojan that is used to steal information from compromised hosts.Azorulthas been observed in the wild as early as 2016.In July 2018,Azorultwas seen used in a spearphishing campaign against targets in North America.Azorulthas been seen used for cryptocurrency theft."
"S0638";"Babuk";"Babyk, Vasa Locker";"Babukis a Ransomware-as-a-service (RaaS) malware that has been used since at least 2021. The operators ofBabukemploy a ""Big Game Hunting"" approach to targeting major enterprises and operate a leak site to post stolen data as part of their extortion scheme."
"S0414";"BabyShark";"";"BabySharkis a Microsoft Visual Basic (VB) script-based malware family that is believed to be associated with several North Korean campaigns."
"S0475";"BackConfig";"";"BackConfigis a custom Trojan with a flexible plugin architecture that has been used byPatchwork."
