software_id;software_name;associated_software;software_description
S0066;3PARA RAT;;is a remote access tool (RAT) programmed in C++ that has been used byPutter Panda.
S0065;4H RAT;;is malware that has been used byPutter Pandasince at least 2007.
S0677;AADInternals;;is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.
S0469;ABK;;is a downloader that has been used byBRONZE BUTLERsince at least 2019.
S1061;AbstractEmu;;is mobile malware that was first seen in Google Play and other third-party stores in October 2021. It was discovered in 19 Android applications, of which at least 7 abused known Android exploits for obtaining root permissions.was observed primarily impacting users in the United States, however victims are believed to be across a total of 17 countries.
S1000;ACAD/Medre.A;;is a worm that steals operational information. The worm collects AutoCAD files with drawings.has the capability to be used for industrial espionage.
S1125;AcidRain;;is an ELF binary targeting modems and routers using MIPS architecture.is associated with the ViaSat KA-SAT communication outage that took place during the initial phases of the 2022 full-scale invasion of Ukraine. Analysis indicates overlap with another network device-targeting malware, VPNFilter, associated withSandworm Team. US and European government sources linkedto Russian government entities, while Ukrainian government sources linkedspecifically toSandworm Team.
S1028;Action RAT;;is a  remote access tool written in Delphi that has been used bySideCopysince at least December 2021 against Indian and Afghani government personnel.
S0202;adbupd;;is a backdoor used byPLATINUMthat is similar toDipsind.
S0552;AdFind;;is a free command-line query tool that can be used for gathering information from Active Directory.
S0309;Adups;;is software that was pre-installed onto Android devices, including those made by BLU Products. The software was reportedly designed to help a Chinese phone manufacturer monitor user behavior, transferring sensitive data to a Chinese server.
S0045;ADVSTORESHELL;AZZY, EVILTOSS, NETUI, Sedreco;is a spying backdoor that has been used byAPT28from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase.
S0440;Agent Smith;;is mobile malware that generates financial gain by replacing legitimate applications on devices with malicious versions that include fraudulent ads. As of July 2019had infected around 25 million devices, primarily targeting India though effects had been observed in other Asian countries as well as Saudi Arabia, the United Kingdom, and the United States.
S0331;Agent Tesla;;is a spyware Trojan written for the .NET framework that has been observed since at least 2014.
S0092;Agent.btz;;is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008.
S1095;AhRat;;"is an Android remote access tool based on the open-source AhMyth remote access tool.initially spread in August 2022 on the Google Play Store via an update containing malicious code to the previously benign application, ""iRecorder – Screen Recorder"", which itself was released in September 2021."
S1129;Akira;;ransomware, written in C++, is most prominently (but not exclusively) associated with the a ransomware-as-a-service entity.
S0319;Allwinner;;is a company that supplies processors used in Android tablets and other devices. A Linux kernel distributed byfor use on these devices reportedly contained a backdoor.
S1025;Amadey;;is a Trojan bot that has been used since at least October 2018.
S0504;Anchor;Anchor_DNS;is one of a family of backdoor malware that has been used in conjunction withTrickBoton selected high profile targets since at least 2018.
S0525;Android/AdDisplay.Ashas;;is a variant of adware that has been distributed through multiple apps in the Google Play Store.
S0304;Android/Chuli.A;;is Android malware that was delivered to activist groups via a spearphishing email with an attachment.
S0524;AndroidOS/MalLocker.B;;is a variant of a ransomware family targeting Android devices. It prevents the user from interacting with the UI by displaying a screen containing a ransom note over all other windows.
S0310;ANDROIDOS_ANSERVER.A;;is Android malware that is unique because it uses encrypted content within a blog site for command and control.
S1074;ANDROMEDA;;is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries. During the 2022C0026campaign, threat actors re-registered expiredC2 domains to spread malware to select targets in Ukraine.
S0292;AndroRAT;;is an open-source remote access tool for Android devices.is capable of collecting data, such as device location, call logs, etc., and is capable of executing actions, such as sending SMS messages and taking pictures. It is originally available through theThe404HackingGithub repository.
S0422;Anubis;;is Android malware that was originally used for cyber espionage, and has been retooled as a banking trojan.
S0584;AppleJeus;;is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications.has been used byLazarus Group, targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia.has been used to distribute theFALLCHILLRAT.
S0622;AppleSeed;;is a backdoor that has been used byKimsukyto target South Korean government, academic, and commercial  targets since at least 2021.
S0456;Aria-body;;is a custom backdoor that has been used byNaikonsince approximately 2017.
S0099;Arp;arp.exe;displays and modifies information about a system's Address Resolution Protocol (ARP) cache.
S0540;Asacub;Trojan-SMS.AndroidOS.Smaps;is a banking trojan that attempts to steal money from victims’ bank accounts. It attempts to do this by initiating a wire transfer via SMS message from compromised devices.
S0073;ASPXSpy;ASPXTool;is a Web shell. It has been modified byThreat Group-3390actors to create the ASPXTool version.
S0373;Astaroth;Guildma;is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017.
S1087;AsyncRAT;;is an open-source remote access tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns.
S0110;at;at.exe;is used to schedule tasks on a system to run  a specified de or time.
S0438;Attor;;is a Windows-based espionage platform that has been seen in use since 2013.has a loadable plugin architecture to customize functionality for specific targets.
S0347;AuditCred;Roptimizer;is a malicious DLL that has been used byLazarus Groupduring their 2018 attacks.
S1029;AuTo Stealer;;is malware written in C++ has been used bySideCopysince at least December 2021 to target government agencies and personnel in India and Afghanistan.
S0129;AutoIt backdoor;;is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352.  This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.
S0640;Avaddon;;is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020.
S0473;Avenger;;is a downloader that has been used byBRONZE BUTLERsince at least 2019.
S1053;AvosLocker;;is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022,had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom.
S0344;Azorult;;is a commercial Trojan that is used to steal information from compromised hosts.has been observed in the wild as early as 2016.In July 2018,was seen used in a spearphishing campaign against targets in North America.has been seen used for cryptocurrency theft.
S0638;Babuk;Babyk, Vasa Locker;"is a Ransomware-as-a-service (RaaS) malware that has been used since at least 2021. The operators ofemploy a ""Big Game Hunting"" approach to targeting major enterprises and operate a leak site to post stolen data as part of their extortion scheme."
S0414;BabyShark;;is a Microsoft Visual Basic (VB) script-based malware family that is believed to be associated with several North Korean campaigns.
S0475;BackConfig;;is a custom Trojan with a flexible plugin architecture that has been used byPatchwork.
S0093;Backdoor.Oldrea;Havex;is a modular backdoor that used byDragonflyagainst energy companies since at least 2013.was distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols.
S0031;BACKSPACE;Lecna;is a backdoor used byAPT30that dates back to at least 2005.
S0606;Bad Rabbit;Win32/Diskcoder.D;is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017.has also targeted organizations and consumers in Russia.
S0245;BADCALL;;is a Trojan malware variant used by the groupLazarus Group.
S0642;BADFLICK;;is a backdoor used byLeviathanin spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries.
S1081;BADHATCH;;is a backdoor that has been utilized byFIN8since at least 2019.has been used to target the insurance, retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy.
S0128;BADNEWS;;is malware that has been used by the actors responsible for thePatchworkcampaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control.
S0337;BadPatch;;is a Windows Trojan that was used in a Gaza Hackers-linked campaign.
S0234;Bandook;;"is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US, South America, Europe, and Southeast Asia.has been used byDark Caracal, as well as in a separate campaign referred to as ""Operation Manul""."
S0239;Bankshot;Trojan Manuscript;is a remote access tool (RAT) that was first reported by the Department of Homeland Security in December of 2017. In 2018,Lazarus Groupused theimplant in attacks against the Turkish financial sector.
S0534;Bazar;KEGTAP, Team9, Bazaloader;is a downloader and backdoor that has been used since at least April 2020, with infections primarily against professional services, healthcare, manufacturing, IT, logistics and travel companies across the US and Europe.reportedly has ties toTrickBotcampaigns and can be used to deploy additional malware, including ransomware, and to steal sensitive data.
S0470;BBK;;is a downloader that has been used byBRONZE BUTLERsince at least 2019.
S0127;BBSRAT;;is malware with remote access tool functionality that has been used in targeted compromises.
S0574;BendyBear;;is an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020,shares a variety of features withWaterbear, malware previously attributed to the Chinese cyber espionage groupBlackTech.
S0017;BISCUIT;;is a backdoor that has been used byAPT1since as early as 2007.
S0268;Bisonal;;is a remote access tool (RAT) that has been used byTonto Teamagainst public and private sector organizations in Russia, South Korea, and Japan since at least December 2010.
S0570;BitPaymer;wp_encrypt, FriedEx;is a ransomware variant first observed in August 2017 targeting hospitals in the U.K.uses a unique encryption key, ransom note, and contact information for each operation.has several indicators suggesting overlap with theDridexmalware and is often delivered viaDridex.
S0190;BITSAdmin;;is a command line tool used to create and manageBITS Jobs.
S1070;Black Basta;;"is ransomware written in C++ that has been offered within the ransomware-as-a-service (RaaS) model since at least April 2022; there are variants that target Windows and VMWare ESXi servers.operations have included the double extortion technique where in addition to demanding ransom for decrypting the files of targeted organizations the cyber actors also threaten to post sensitive information to a leak site if the ransom is not paid.affiliates have targeted multiple high-value organizations, with the largest number of victims based in the U.S. Based on similarities in TTPs, leak sites, payment sites, and negotiation tactics, security researchers assess theRaaS operators could include current or former members of theContigroup."
S1068;BlackCat;ALPHV, Noberus;is ransomware written in Rust that has been offered via the Ransomware-as-a-Service (RaaS) model. First observed November 2021,has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe.
S0069;BLACKCOFFEE;;is malware that has been used by several Chinese groups since at least 2013.
S0089;BlackEnergy;Black Energy;is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well as in targeting Ukrainian institutions. Variants include  2 and  3.
S0564;BlackMould;;is a web shell based onChina Chopperfor servers running Microsoft IIS. First reported in December 2019, it has been used in malicious campaigns byGALLIUMagainst telecommunication providers.
S0520;BLINDINGCAN;;is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.
S0521;BloodHound;;is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.
S0657;BLUELIGHT;;is a remote access Trojan used byAPT37that was first observed in early 2021.
S0486;Bonadan;;is a malicious version of OpenSSH which acts as a custom backdoor.has been active since at least 2018 and combines a new cryptocurrency-mining module with the same credential-stealing module used by the Onderon family of backdoors.
S0360;BONDUPDATER;;is a PowerShell backdoor used byOilRig. It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails.
S0635;BoomBox;;is a downloader responsible for executing next stage components that has been used byAPT29since at least 2021.
S0415;BOOSTWRITE;;is a loader crafted to be launched via abuse of the DLL search order of applications used byFIN7.
S0114;BOOTRASH;;is aBootkitthat targets Windows operating systems. It has been used by threat actors that target the financial sector.
S1079;BOULDSPY;;is an Android malware, detected in early 2023, with surveillance and remote-control capabilities. Analysis of exfiltrated C2 data suggests thatprimarily targeted minority groups in Iran.
S0651;BoxCaon;;is a Windows backdoor that was used byIndigoZebrain a 2021 spearphishing campaign against Afghan government officials.'s name stems from similarities shared with the malware familyxCaon.
S0293;BrainTest;;is a family of Android malware.
S1094;BRATA;;(Brazilian Remote Access Tool, Android), is an evolving Android malware strain, detected in late 2018 and again in late 2021. Originating in Brazil,was later also found in the UK, Poland, Italy, Spain, and USA, where it is believed to have targeted financial institutions such as banks. There are currently three known variants of.
S0252;Brave Prince;;is a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior toGold Dragon, and was seen along withGold DragonandRunningRATin operations surrounding the 2018 Pyeongchang Winter Olympics.
S0432;Bread;Joker;was a large-scale billing fraud malware family known for employing many different cloaking and obfuscation techniques in an attempt to continuously evade Google Play Store’s malware detection. 1,700 unique  apps were detected and removed from the Google Play Store before being downloaded by users.
S0204;Briba;;is a trojan used byElderwoodto open a backdoor and download files on to compromised hosts.
S1063;Brute Ratel C4;BRc4;is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020.was specifically designed to avoid detection by endpoint detection and response (EDR) and antivirus (AV) capabilities, and deploys agents called badgers to enable arbitrary command execution for lateral movement, privilege escalation, and persistence. In September 2022, a cracked version ofwas leaked in the cybercriminal underground, leading to its use by threat actors.
S0014;BS2005;;is malware that was used byKe3changin spearphishing campaigns since at least 2011.
S0043;BUBBLEWRAP;Backdoor.APT.FakeWinHTTPHelper;is a full-featured, second-stage backdoor used by theadmin@338group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities.
S0471;build_downer;;is a downloader that has been used byBRONZE BUTLERsince at least 2019.
S1039;Bumblebee;;"is a custom loader written in C++ that has been used by multiple threat actors, including possible initial access brokers, to download and execute additional payloads since at least March 2022.has been linked to ransomware operations includingConti, Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
S0482;Bundlore;OSX.Bundlore;is adware written for macOS that has been in use since at least 2015. Though categorized as adware,has many features associated with more traditional backdoors.
S1118;BUSHWALK;;is a web shell written in Perl that was inserted into the legitimate querymanifest.cgi file on compromised Ivanti Connect Secure VPNs duringCutting Edge.
S0655;BusyGasper;;is Android spyware that has been in use since May 2016. There have been less than 10 victims, all who appear to be located in Russia, that were all infected via physical access to the device.
S0119;Cachedump;;is a publicly-available tool that program extracts cached password hashes from a system’s registry.
S0693;CaddyWiper;;is a destructive data wiper that has been used in attacks against organizations in Ukraine since at least March 2022.
S0454;Cadelspy;;is a backdoor that has been used byAPT39.
S0025;CALENDAR;;is malware used byAPT1that mimics legitimate Gmail Calendar traffic.
S0274;Calisto;;is a macOS Trojan that opens a backdoor on the compromised machine.is believed to have first been developed in 2016.
S0077;CallMe;;is a Trojan designed to run on Apple OSX. It is based on a publicly available tool called Tiny SHell.
S0351;Cannon;;is a Trojan with variants written in C# and Delphi. It was first observed in April 2018.
S0030;Carbanak;Anunak;is a full-featured, remote backdoor used by a group of the same name (). It is intended for espionage, data exfiltration, and providing remote access to infected machines.
S0484;Carberp;;is a credential and information stealing malware that has been active since at least 2009.'s source code was leaked online in 2013, and subsequently used as the foundation for theCarbanakbackdoor.
S0335;Carbon;;is a sophisticated, second-stage backdoor and framework that can be used to steal sensitive information from victims.has been selectively used byTurlato target government and foreign affairs-related organizations in Central Asia.
S0529;CarbonSteal;;is one of a family of four surveillanceware tools that share a common C2 infrastructure.primarily deals with audio surveillance.
S0348;Cardinal RAT;;is a potentially low volume remote access trojan (RAT) observed since December 2015.is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
S0465;CARROTBALL;;is an FTP downloader utility that has been in use since at least 2019.has been used as a downloader to installSYSCON.
S0462;CARROTBAT;;is a customized dropper that has been in use since at least 2017.has been used to installSYSCONand has infrastructure overlap withKONNI.
S0261;Catchamas;;is a Windows Trojan that steals information from compromised systems.
S0572;Caterpillar WebShell;;is a self-developed Web Shell tool created by the groupVolatile Cedar.
S0222;CCBkdr;;is malware that was injected into a signed version of CCleaner and distributed from CCleaner's distribution website.
S1043;ccf32;;"is data collection malware that has been used since at least February 2019, most notably during theFunnyDreamcampaign; there is also a similar x64 version."
S0480;Cerberus;;is a banking trojan whose usage can be rented on underground forums and marketplaces. Prior to being available to rent, the authors ofclaim was used in private operations for two years.
